"sku","_store","_attribute_set","_type","_category","_product_websites","name","description","short_description","weight","news_from_date","news_to_date","status","url_key","visibility","gift_message_available","price","special_price","special_from_date","special_to_date","cost","tax_class_id","enable_googlecheckout","meta_title","meta_keyword","meta_description","allow_open_amount","open_amount_max","giftcard_type","is_redeemable","use_config_is_redeemable","lifetime","use_config_lifetime","allow_message","use_config_allow_message","email_template","use_config_email_template","activation_information","base_price_amount","base_price_base_amount","base_price_base_unit","base_price_unit","base_price_use","color","computer_manufacturers","contrast_ratio","country_of_manufacture","country_orgin","cpu_speed","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","designeditor_theme_id","dimension","finish","gallery","gender","harddrive_speed","hardrive","has_options","image","image_label","in_depth","is_imported","manufacturer","max_resolution","megapixels","memory","metal","model","msrp","msrp_display_actual_price_type","msrp_enabled","open_amount_min","options_container","package_type","page_layout","processor","ram_size","required_options","response_time","room","screensize","shape","shirt_size","shoe_size","shoe_type","size","small_image","small_image_label","style","thumbnail","thumbnail_label","type","updated_at","url_path","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort","_super_products_sku","_super_attribute_code","_super_attribute_option","_super_attribute_price_corr"
"","","","","SHOP BY MATERIAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","NB! Please provide good quality photos as they are essential ( JPEG, JPG, PDF, TIF, GIF format )","1","","","","6","I am sending photos via e-mail to info@photo-images.net","0.0000","","1","","","",""
"","","","","SHOP BY SHAPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I am sending photos via regular post to 182 Queens Road, WD17 2NT","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","I am sending photos via regular post to 182 Queens Road, WD17 2NT","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","area","My instructions ( only man from photo etc)","0","0.0000","","0","5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I also need a chain for my pendant","1","","","","4","18 inch Sterling Silver Prince of Wales chain","9.9500","CHAIN9CT","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No, I have my own chain","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","No, I have my own chain","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I want my pendant to be indlaid in","1","","","","3","Onyx","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mother of Pearl","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Mother of Pearl","","","","","","",""
"S303","","Default","simple","SHOP BY MATERIAL/Silver Photo Pendants","base","Medium Oval Photo Pendant in Sterling Silver with Simple Frame","<p><span style=""font-size: medium; font-family: georgia, palatino;""><strong>Custom photo engraved pendant in solid Sterling Silver with simple elegant frame</strong></span></p>
<ul>
</ul>
<ul id=""mf114"">
<li id=""mf115""><span id=""mf116"" style=""font-size: medium; font-family: georgia, palatino;"">23x30 mm&nbsp;</span></li>
<li id=""mf115""><span style=""font-size: medium; font-family: georgia, palatino;"">17x23<span id=""mf117"">&nbsp;mm photo area</span></span></li>
<li id=""mf121""><span id=""mf122"" style=""font-size: medium; font-family: georgia, palatino;"">with elegant gift box</span></li>
</ul>
<p id=""mf123""><span id=""mf124"" style=""font-size: medium; font-family: georgia, palatino;"">Ready in&nbsp;<strong id=""mf108"">7 working days</strong>&nbsp;or sooner</span></p>
<ul>
</ul>
<ul>
</ul>
<ul>
</ul>","<p>Material: Sterling silver<br />Shape: oval<br />Size: medium</p>","1.9000","2011-09-13 00:00:00","2011-10-08 00:00:00","1","photo-jewellery-pendant-silver-313","4","0","69.9500","","2011-09-14 00:00:00","2011-09-15 00:00:00","","2","0","9ct Gold Photo Pendant Inlaid with Simple Frame","gold photo pendant, gold photo pendant, 9ct gold photo pendants, 9ct gold photo charms, 9ct gold photo charms, 9ct gold picture pendant, gold photo jewellery, ","Get personal photo engraved on our solid 9ct Gold pendant, with UK Hallmark, lifetime warranty and fast shipping all across UK. Customize order with message on reverse and more...","","","","","","","","","","","","","","","","","","","","","","","","2011-10-03 09:59:54","","","","","11","","","","","","","1","/p/h/photo-pendant-jewellery--silver-roped-303.jpg","","","Yes","","","","","SILVER","","","","","","Block after Info Column","","2 columns with right bar","","","1","","","","OVAL","","","","","/p/h/photo-pendant-jewellery--silver-roped-303.jpg","","SIMPLE","/p/h/photo-pendant-jewellery--silver-roped-303.jpg","","","2012-11-19 11:27:27","photo-jewellery-pendant-silver-313-205.html","","","0.0000","0","1","0","0","1","1.0000","1","10000","1","0","1","1","1","0","1","1","1","1","0","","","","","","","","","","","","","","","","","radio","I have a photo with multiple people or several separate photos","1","","","","2","No thanks, only 1 person / 1 photo","0.0000","","1","","","",""
"","","","","SHOP BY MATERIAL/Silver Photo Pendants/Oval Photo Pendants in Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 photos","15.0000","2PHOTO","2","","","",""
"","","","","PHOTO ENGRAVED PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 photos","30.0000","3PHOTO","3","","","",""
"","","","","PHOTO ENGRAVED PENDANTS/Silver Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","2 photos","","","","","","",""
"","","","","SHOP BY SHAPE/Oval Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","3 photos","","","","","","",""
"","","","","SHOP BY STYLE/Deluxe Framed Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I choose the following finish ","1","","","","1","Laser - lasering in high detail with a delicate finish","0.0000","","1","","","",""
"","","","","PHOTO PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black & White - enameling in black & white and high detail","0.0000","","2","","","",""
"","","","","SHOP BY STYLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Colour - enameling in full vibrant colour and high detail","0.0000","","3","","","",""
"","","","","SHOP BY MATERIAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Black & White - enameling in black & white and high detail","","","","","","",""
"","","","","SHOP BY SHAPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Colour - enameling in full vibrant colour and high detail","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","NB! Please provide good quality photos as they are essential ( JPEG, JPG, PDF, TIF, GIF format )","1","","","","6","I am sending photos via e-mail to info@photo-images.net","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I am sending photos via regular post to 182 Queens Road, WD17 2NT","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","I am sending photos via regular post to 182 Queens Road, WD17 2NT","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","area","My instructions ( only man from photo etc)","0","0.0000","","0","5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I also need a chain for my pendant","1","","","","4","18 inch Sterling Silver Prince of Wales chain","9.9500","CHAIN9CT","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No thanks, I have my own chain","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","No thanks, I have my own chain","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I want my pendant to be indlaid in","1","","","","3","Onyx","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mother of Pearl","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Mother of Pearl","","","","","","",""
"S301","","Default","simple","SHOP BY MATERIAL/Silver Photo Pendants","base","Medium Heart Photo Pendant in Sterling Silver with Simple Frame","<p><span style=""font-size: medium; font-family: georgia, palatino;""><strong>Custom photo engraved pendant in solid Sterling Silver inlaid in Rope</strong></span></p>
<ul>
</ul>
<ul id=""mf114"">
<li id=""mf115""><span id=""mf116"" style=""font-size: medium; font-family: georgia, palatino;"">26x28 mm&nbsp;</span></li>
<li id=""mf115""><span style=""font-size: medium; font-family: georgia, palatino;"">23x20<span id=""mf117"">&nbsp;mm photo area</span></span></li>
<li id=""mf121""><span id=""mf122"" style=""font-size: medium; font-family: georgia, palatino;"">with elegant gift box</span></li>
</ul>
<p id=""mf123""><span id=""mf124"" style=""font-size: medium; font-family: georgia, palatino;"">Ready in&nbsp;<strong id=""mf108"">7 working days</strong>&nbsp;or sooner</span></p>
<ul>
</ul>
<ul>
</ul>
<ul>
</ul>","<p>Material: silver<br />Shape: heart<br />Size: medium</p>","1.9000","2011-09-13 00:00:00","2012-04-30 00:00:00","1","photo-jewellery-pendant-silver-9ct-301","4","0","69.9500","","2011-09-14 00:00:00","2011-09-15 00:00:00","","2","0","9ct Gold Photo Pendant Inlaid in Rope & Mother of Pearl","gold photo pendant, gold photo pendant, 9ct gold photo pendants, 9ct gold photo charms, 9ct gold photo charms, 9ct gold picture pendant, gold photo jewellery, ","Get personal photo engraved on our solid 9ct Gold pendant, with UK Hallmark, lifetime warranty and fast shipping all across UK. Customize order with message on reverse and more...","","","","","","","","","","","","","","","","","","","","","","","","2011-10-03 10:11:54","","","","","11","","","","","","","1","/p/h/photo-pendant-jewellery-frame-silver-301.jpg","","","Yes","","","","","SILVER","","","","","","Block after Info Column","","2 columns with right bar","","","1","","","","HEART","","","","","/p/h/photo-pendant-jewellery-frame-silver-301.jpg","","SIMPLE","/p/h/photo-pendant-jewellery-frame-silver-301.jpg","","","2012-11-07 21:25:47","photo-jewellery-pendant-silver-9ct-301.html","","","18.0000","0","1","0","0","1","1.0000","1","10000","1","1","1","1","1","0","0","1","1","1","0","","","","","","","","","","","","","","","","","radio","I have a photo with multiple people or several separate photos","1","","","","2","No thanks, only 1 person / 1 photo ","0.0000","","1","","","",""
"","","","","SHOP BY MATERIAL/Silver Photo Pendants/Heart Photo Pendants in Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 people / 2 photos","15.0000","2PHOTO","2","","","",""
"","","","","PHOTO ENGRAVED PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 people / 3 photos","30.0000","3PHOTO","3","","","",""
"","","","","PHOTO ENGRAVED PENDANTS/Silver Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","2 people / 2 photos","","","","","","",""
"","","","","SHOP BY SHAPE/Heart Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","3 people / 3 photos","","","","","","",""
"","","","","SHOP BY STYLE/Deluxe Framed Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I choose the following finish ","1","","","","1","Laser - lasering in high detail with a delicate finish","0.0000","","1","","","",""
"","","","","PHOTO PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black & White - enameling in black & white and high detail","0.0000","","2","","","",""
"","","","","SHOP BY STYLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Colour - enameling in full vibrant colour and high detail","0.0000","","3","","","",""
"","","","","SHOP BY MATERIAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Black & White - enameling in black & white and high detail","","","","","","",""
"","","","","SHOP BY SHAPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Colour - enameling in full vibrant colour and high detail","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","NB! Please provide good quality photos as they are essential ( JPEG, JPG, PDF, TIF, GIF format )","1","","","","6","I am sending photos via e-mail to info@photo-images.net","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I am sending photos via regular post to 182 Queens Road, WD17 2NT","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","I am sending photos via regular post to 182 Queens Road, WD17 2NT","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","area","My instructions ( only man from photo etc)","0","0.0000","","0","5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I also need a chain for my pendant","1","","","","4","18 inch Sterling Silver Prince of Wales chain","9.9500","CHAIN9CT","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No thanks, I have my own chain","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","No thanks, I have my own chain","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I want my pendant to be indlaid in","1","","","","3","Mother of Pearl","0.0000","","2","","","",""
"S701","","Default","simple","SHOP BY MATERIAL/Silver Photo Pendants","base","Large Round Sterling Silver Photo Pendant with Cut-out Name","<p><span style=""font-size: medium;""><strong>Custom photo engraved pendant in solid Sterling Silver with cut-out name and hearts</strong></span></p>
<ul>
<li><span style=""font-size: medium;"">30 mm</span></li>
<li><span style=""font-size: medium;"">solid Sterling Silver</span></li>
<li><span style=""font-size: medium;"">UK Hallmarked</span></li>
<li><span style=""font-size: medium;"">with elegant gift box</span></li>
</ul>
<ul>
</ul>
<ul>
</ul>","<p>Material: 9ct Gold<br />Shape: circle<br />Size: large</p>","1.9000","","","2","photo-jewellery-pendant-silver-701","4","0","59.9500","","","","","2","0","9ct Gold Photo Engraved Pendant - Large Circle","gold photo pendant, gold photo pendant, 9ct gold photo pendants, 9ct gold photo charms, 9ct gold photo charms, 9ct gold picture pendant, gold photo jewellery, ","Get personal photo engraved on our solid 9ct Gold pendant, with UK Hallmark, lifetime warranty and fast shipping all across UK. Customize order with message on reverse and more...","","","","","","","","","","","","","","","","","","","","","","","","2011-10-03 10:59:50","","","","","11","","","","","","","1","/p/h/photo-jewellery-pendant-silver-701.jpg","","","Yes","","","","","SILVER","","","","","","Block after Info Column","","2 columns with right bar","","","1","","","","CIRCLE","","","","","/p/h/photo-jewellery-pendant-silver-701.jpg","","CUST/CUT","/p/h/photo-jewellery-pendant-silver-701.jpg","","","2012-05-11 06:27:54","photo-jewellery-pendant-silver-701.html","","","0.0000","0","1","0","0","1","1.0000","1","10000","1","0","1","1","0","1","1","1","1","1","0","","","","","","","","","","","","","","","","","field","I wish to have message engraved on reverse","0","10.0000","MESSAGE","40","4","","","","","","","",""
"","","","","SHOP BY MATERIAL/Silver Photo Pendants/Round Photo Pendants in Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I wish to have multiple photos merged into one ","0","","","","3","2 photos","15.0000","2PHOTO","1","","","",""
"","","","","PHOTO ENGRAVED PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 photos","30.0000","3PHOTO","2","","","",""
"","","","","PHOTO ENGRAVED PENDANTS/Silver Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","3 photos","","","","","","",""
"","","","","SHOP BY SHAPE/Round Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","field","Name or word I wish to have cut out ( Kimberly, mum etc. )","1","0.0000","NAME-CUT","0","2","","","","","","","",""
"","","","","SHOP BY STYLE/Custom Cut Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I choose the following finish ","1","","","","1","Laser - lasering in high detail with a delicate finish","0.0000","","1","","","",""
"","","","","PHOTO PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ultra - enameling in black & white and high detail","0.0000","","2","","","",""
